dataset,split,filename,abs_image_path,md5
FUNDUS_SORTED,Train,584.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Positive/584.jpg,002d9a6517a284c5e6c2d5d01dc7b565
ORIGA,A,584.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/584.jpg,002d9a6517a284c5e6c2d5d01dc7b565
FUNDUS_SORTED,Train,104.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/104.jpg,01ef80fdb7dc4ba1c7f75b31cff06032
ORIGA,A,104.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/104.jpg,01ef80fdb7dc4ba1c7f75b31cff06032
FUNDUS_SORTED,Train,341.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/341.jpg,03b86dbf482f4550a33fcb23b9e0bc13
ORIGA,B,341.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/341.jpg,03b86dbf482f4550a33fcb23b9e0bc13
ORIGA,B,144.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/144.jpg,041085c1aaa29ff6da35b2060cc44ad9
FUNDUS_SORTED,Train,144.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/144.jpg,041085c1aaa29ff6da35b2060cc44ad9
FUNDUS_SORTED,Validation,599.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Validation/Glaucoma_Negative/599.jpg,04114f0b2305b69c4fd6ee02c4d532af
ORIGA,B,599.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/599.jpg,04114f0b2305b69c4fd6ee02c4d532af
