subset,rows,missing_images_rate,nrg,rg,brightness_mean,brightness_variance,red_mean,green_mean,blue_mean,red_variance,green_variance,blue_variance
non_glaucoma,90733,0.0,90733,0,50.741465581299934,424.30426038440356,76.84859158189414,46.95857361709631,28.417227910462564,829.4403650015238,397.1463733522629,437.4211692915844
brightness_over_90,4922,0.0,4740,182,104.17578747039013,122.7707088156509,131.0931247460382,99.57107679804957,81.86317553839902,303.2159311402979,142.96172023836016,349.8804779651158
brightness_under_20,3314,0.0,3215,99,15.653999914156074,11.23991305833434,25.32229330114665,14.565042245021123,7.074556427278214,55.52365854841874,11.389373330542016,23.57093311136375
ANRI,1544,0.0,0,1544,50.85923657021992,507.89890627855533,73.61762953367875,47.544896373057,31.41528497409326,936.8452506312984,480.6702694643031,435.19944774764195
ANRS,1384,0.0,0,1384,54.21618291580608,590.5523258928639,76.52992052023122,50.93566473988439,35.18299132947977,986.4187905215165,559.9306952917132,510.7565851163384
LC,616,0.0,0,616,50.87526499218755,502.153207727035,72.99146103896105,47.711185064935066,31.923214285714288,847.4266547724633,481.93088233317496,462.42916656213697
LD,488,0.0,0,488,46.34600178335534,447.9088015291266,68.77077868852459,42.90161885245901,27.365614754098363,825.8976486737133,422.29201441705663,391.1273577321844
NVT,344,0.0,0,344,51.09807362944581,525.884047049189,73.77020348837209,47.563197674418596,31.96095930232558,926.307448063428,483.2704579666418,460.2852693394467
BCLVI,191,0.0,0,191,54.19545924101825,553.490366384131,78.40811518324608,50.55382198952879,33.62429319371728,1055.8669216919259,513.5078637365665,456.0322014714798
BCLVS,150,0.0,0,150,54.46465237935384,548.389864501211,77.10246666666667,51.04586666666667,35.2454,996.0931126666666,515.2095841431767,473.42451225503345
RNFLDI,118,0.0,0,118,47.44662800481764,347.0392023372358,66.9035593220339,44.743644067796616,30.693220338983053,647.5829991887583,346.0798148124004,286.9622852672751
RNFLDS,99,0.0,0,99,60.784196410516294,637.156407262069,82.15888888888888,57.91252525252526,42.281717171717176,920.1993160997735,607.4066537621109,590.4927286538858
DH,51,0.0,0,51,58.456315096686865,699.4011515189592,81.16745098039216,54.93313725490196,39.2686274509804,1291.029355372549,669.9928059607843,575.3482680784313
