subset,rows,images_present,missing_images,missing_images_rate,nrg,rg,other_labels,brightness_mean,brightness_median,brightness_variance,red_mean,green_mean,blue_mean,red_variance,green_variance,blue_variance
ANRI,1544,1544,0,0.0,0,1544,0,50.85923657021992,47.234519958496094,507.89890627855533,73.61762953367875,47.544896373057,31.41528497409326,936.8452506312984,480.6702694643031,435.19944774764195
ANRS,1384,1384,0,0.0,0,1384,0,54.21618291580608,50.13801193237305,590.5523258928639,76.52992052023122,50.93566473988439,35.18299132947977,986.4187905215165,559.9306952917132,510.7565851163384
BCLVI,191,191,0,0.0,0,191,0,54.19545924101825,53.0709342956543,553.490366384131,78.40811518324608,50.55382198952879,33.62429319371728,1055.8669216919259,513.5078637365665,456.0322014714798
BCLVS,150,150,0,0.0,0,150,0,54.46465237935384,52.36835479736328,548.389864501211,77.10246666666667,51.04586666666667,35.2454,996.0931126666666,515.2095841431767,473.42451225503345
DH,51,51,0,0.0,0,51,0,58.456315096686865,59.95953369140625,699.4011515189592,81.16745098039216,54.93313725490196,39.2686274509804,1291.029355372549,669.9928059607843,575.3482680784313
LC,616,616,0,0.0,0,616,0,50.87526499218755,47.82028770446777,502.153207727035,72.99146103896105,47.711185064935066,31.923214285714288,847.4266547724633,481.93088233317496,462.42916656213697
LD,488,488,0,0.0,0,488,0,46.34600178335534,42.77290916442871,447.9088015291266,68.77077868852459,42.90161885245901,27.365614754098363,825.8976486737133,422.29201441705663,391.1273577321844
NVT,344,344,0,0.0,0,344,0,51.09807362944581,47.908748626708984,525.884047049189,73.77020348837209,47.563197674418596,31.96095930232558,926.307448063428,483.2704579666418,460.2852693394467
RNFLDI,118,118,0,0.0,0,118,0,47.44662800481764,43.5566520690918,347.0392023372358,66.9035593220339,44.743644067796616,30.693220338983053,647.5829991887583,346.0798148124004,286.9622852672751
RNFLDS,99,99,0,0.0,0,99,0,60.784196410516294,56.874778747558594,637.156407262069,82.15888888888888,57.91252525252526,42.281717171717176,920.1993160997735,607.4066537621109,590.4927286538858
brightness_high,31624,31624,0,0.0,30718,906,0,73.41568692050762,68.70524215698242,268.5159854456597,104.89614912724514,68.22802143941311,47.122882620794336,581.5127268646464,292.5527479335124,529.8178309338232
brightness_low,30694,30694,0,0.0,29900,794,0,30.58023488075716,32.07876396179199,55.63049411877461,49.99883201928716,28.08885873460611,13.652998957450968,215.69753736121888,53.931292396359865,72.7087267404935
brightness_medium,30693,30693,0,0.0,30115,578,0,47.68100248579211,47.590965270996094,17.205564790263647,74.69648486625614,44.09188283973544,24.25465578470661,171.894121681618,27.270481959164982,115.31318915314628
color_blue,248,248,0,0.0,235,13,0,38.08852638736848,32.28351020812988,551.3496715996575,37.1916935483871,37.2275,39.846532258064514,532.4839226263549,540.6786082995952,592.7869223390361
color_green,293,293,0,0.0,280,13,0,53.1619620795136,53.90684127807617,442.69783633417376,53.56249146757679,55.40546075085324,50.51805460750854,465.24935438776936,501.7633200780775,412.2050855860489
color_red,92469,92469,0,0.0,90217,2252,0,50.813768614466376,47.804935455322266,426.53681016742723,76.99404330099817,47.01649936735554,28.430760254788087,828.5502130498186,399.1170266129387,436.56393324343657
non_glaucoma,90733,90733,0,0.0,90733,0,0,50.741465581299934,47.78132629394531,424.30426038440356,76.84859158189414,46.95857361709631,28.417227910462564,829.4403650015238,397.1463733522629,437.4211692915844
